#{"t_start": 1754743158.517612, "env_id": "None"}
r,l,t
323.619048,15,1030.465497
638.842896,4,1031.190843
225.37512,4,1031.657345
623.536761,5,1032.410787
626.395023,29,1033.805047
363.626525,5,1034.573566
618.148064,13,1035.523897
633.755668,2,1036.189553
659.208694,6,1036.993449
638.494946,1,1037.693958
229.0,1,1038.05442
625.702501,10,1038.923787
632.604245,2,1039.626855
226.544571,3,1040.088382
628.201401,6,1040.88933
229.0,1,1041.304326
666.152474,2,1041.938237
351.757387,4,1042.643198
638.976823,1,1043.293241
635.61716,3,1044.025988
226.567455,3,1044.421991
635.811312,5,1045.20647
626.435314,7,1046.035891
632.751884,6,1046.825323
624.194841,12,1047.740583
620.727842,8,1048.609553
632.77014,1,1049.274879
633.142745,2,1049.951956
229.0,1,1050.338738
631.58916,3,1051.040477
227.818809,2,1051.437258
631.507154,5,1052.259314
613.276953,20,1053.455899
229.0,1,1053.818272
633.909007,3,1054.588844
229.0,1,1054.953503
625.883001,8,1055.82139
631.317349,2,1056.519605
634.67043,1,1057.120171
623.757553,10,1058.006471
633.17016,2,1058.688607
229.0,1,1059.037292
625.292681,7,1059.908695
225.552626,4,1060.367634
630.123266,4,1061.090593
632.830152,2,1061.790455
631.891184,2,1062.484446
608.283675,22,1063.751763
229.0,1,1064.118911
203.471927,22,1065.024445
614.728983,18,1066.118162
654.708643,8,1066.974995
632.553516,2,1067.668584
631.292515,4,1068.458667
617.902412,13,1069.40652
617.847793,14,1070.437271
635.375106,6,1071.235099
626.903354,5,1072.063595
612.957094,18,1073.16951
624.537132,8,1073.987212
224.330391,5,1074.485381
636.758455,3,1075.222421
632.189532,4,1076.006731
629.895481,3,1076.719275
609.712665,22,1077.920213
629.49198,6,1078.776335
229.0,1,1079.137058
632.090723,3,1079.857134
632.035919,3,1080.567825
631.022411,3,1081.284115
632.278354,4,1082.038024
624.122611,5,1082.803451
633.44416,2,1083.506165
662.171802,4,1084.203152
225.183188,4,1084.653451
351.897891,9,1085.51089
227.694522,2,1085.935051
628.365782,6,1086.709289
617.740612,19,1087.890267
636.658839,2,1088.573535
229.0,1,1088.968094
225.426062,4,1089.434603
626.671099,5,1090.175074
605.724889,23,1091.419178
662.008497,4,1092.121546
635.115854,2,1092.869188
624.140853,33,1094.353417
632.981425,4,1095.082225
658.369384,6,1095.838485
229.0,1,1096.234153
618.428377,14,1097.199162
622.518997,17,1098.286202
637.30526,2,1098.940256
604.496635,29,1100.39918
639.130454,1,1101.066952
631.166029,10,1101.954995
314.770313,10,1102.802466
632.455267,3,1103.504383
226.712645,3,1103.966059
636.360814,2,1104.65128
625.414381,7,1105.470946
620.821805,15,1106.484076
229.0,1,1106.853828
628.109629,10,1107.767658
229.0,1,1108.147818
619.09418,15,1109.167009
640.149994,2,1109.853124
618.016567,17,1110.954309
631.666925,3,1111.656603
633.744282,1,1112.320061
658.782097,6,1113.083795
626.4461,10,1113.969942
628.710695,5,1114.763107
630.956781,4,1115.516709
662.616827,1,1116.164378
229.0,1,1116.520149
227.8263,2,1116.89881
629.467926,5,1117.662569
332.685494,7,1118.470449
639.031357,1,1119.119442
639.638489,2,1119.806349
632.426945,3,1120.550839
628.281871,7,1121.329229
627.776532,9,1122.197094
631.730931,3,1122.998373
631.328087,3,1123.713796
229.0,1,1124.083806
625.739643,2,1124.78288
627.513985,7,1125.602561
619.032373,19,1126.763826
635.557153,4,1127.501192
632.292888,2,1128.178262
629.832664,5,1128.949124
626.271914,6,1129.730243
633.237571,4,1130.496437
620.782735,13,1131.432419
637.568477,3,1132.16772
653.295021,9,1132.99887
227.838286,2,1133.400743
632.188304,4,1134.118463
631.371897,7,1134.972483
319.112375,5,1135.668418
629.516242,5,1136.44607
628.052247,6,1137.217717
229.0,1,1137.562342
633.942723,2,1138.320447
227.737937,2,1138.712166
638.89975,2,1139.384881
635.23672,3,1140.064592
630.37856,5,1140.828635
222.864919,6,1141.345317
632.784836,4,1142.094742
324.832848,16,1143.076995
629.138886,6,1143.866657
626.820578,3,1144.566067
632.661184,3,1145.344997
632.084589,2,1146.033864
637.116651,2,1146.660288
662.58335,1,1147.280862
667.083956,2,1147.966183
227.699995,2,1148.417243
632.258127,2,1149.078031
227.878193,2,1149.469507
638.065415,1,1150.111373
655.862212,9,1150.983048
638.506215,2,1151.664059
226.645093,3,1152.104726
621.90341,9,1152.976054
340.53712,4,1153.681021
636.289518,2,1154.36324
633.402881,2,1155.045849
226.506049,3,1155.465464
630.894215,2,1156.260992
636.07209,4,1156.978968
226.500893,3,1157.393586
634.429489,5,1158.160796
661.496418,2,1158.813535
320.000499,16,1159.900431
625.934253,3,1160.617714
632.093884,3,1161.31899
627.413754,7,1162.1357
636.245274,3,1162.832609
628.154837,6,1163.676994
630.273551,11,1164.576789
206.159278,20,1165.414289
229.0,1,1165.781951
217.083189,11,1166.444724
227.835716,2,1166.824782
631.696929,3,1167.543376
630.146274,4,1168.328119
626.50649,10,1169.224579
630.718378,5,1170.063889
635.44423,4,1170.776259
631.258552,3,1171.493399
632.005507,4,1172.229772
653.657561,9,1173.094909
322.707646,3,1173.746632
643.260319,17,1174.86197
615.907503,18,1175.962173
626.656893,7,1176.791627
630.966183,3,1177.500798
