#{"t_start": 1755046992.0441716, "env_id": "None"}
r,l,t
630.074966,5,1445.400569
204.422634,20,1446.493965
631.286363,8,1447.488021
626.547418,7,1448.396045
634.105898,4,1449.196906
612.669971,16,1450.41708
339.561382,12,1451.446387
469.843998,119,1456.727426
632.905468,2,1457.489567
626.96985,1,1458.207805
572.810601,46,1460.758851
630.601155,3,1461.581944
617.803285,18,1463.046144
606.321523,22,1464.664757
578.248139,41,1466.894261
623.51654,9,1468.016375
565.269594,13,1469.232654
622.259035,9,1470.267079
634.393631,5,1471.094358
633.53894,25,1472.61219
156.264083,54,1474.846074
631.904196,3,1475.595035
632.033139,1,1476.277181
620.440323,32,1478.046042
606.487492,26,1479.79347
611.202789,22,1481.217603
623.249589,10,1482.196156
484.517038,111,1486.698077
625.455299,7,1487.633799
595.098416,29,1489.278164
353.261465,9,1490.300704
635.390283,1,1490.984121
508.99563,92,1494.847065
425.522183,156,1500.919928
662.933842,2,1501.672632
626.417505,4,1502.818965
624.472686,8,1503.775476
620.306827,15,1505.10894
557.010697,58,1507.889027
609.732129,20,1509.244774
140.274138,65,1511.888329
631.620595,4,1512.750773
322.062223,1,1513.387223
660.770442,2,1514.095473
629.374612,5,1514.954037
542.687681,70,1518.10981
618.988111,9,1519.105076
633.642716,3,1519.889102
569.546114,47,1522.28623
611.232557,19,1523.606871
628.538441,7,1524.512083
600.696702,27,1526.135984
606.483507,23,1528.029912
186.581105,33,1529.800157
642.62234,17,1531.241822
630.042014,2,1532.083508
631.58568,7,1533.171556
610.308019,19,1534.921994
321.132986,29,1536.78501
603.530224,23,1538.621676
611.578996,18,1540.163822
197.305667,24,1541.505612
659.492708,5,1542.419845
229.0,1,1543.206601
596.856598,30,1545.346172
609.890586,21,1546.996807
638.368397,2,1547.831689
543.549475,68,1551.480103
581.027334,2,1552.365676
547.993477,23,1554.004801
627.405373,5,1554.971969
334.305133,14,1556.266171
605.439003,27,1558.400788
625.499617,12,1559.478097
625.317561,8,1560.499886
621.683058,7,1561.386597
631.420622,2,1562.114062
310.520342,17,1563.309243
627.423942,11,1564.342669
613.91312,40,1566.352775
647.255817,12,1567.470984
626.354536,7,1568.413733
546.501517,67,1571.509103
605.982924,20,1573.022737
633.315665,2,1573.754851
621.36988,12,1574.929014
348.910885,9,1575.948067
358.708338,3,1577.167757
624.70981,9,1578.417576
603.911892,25,1580.469094
615.787567,15,1582.124881
630.130021,8,1583.20903
631.911403,6,1584.328229
635.174108,1,1585.134785
221.068739,7,1585.750803
623.549269,8,1586.656125
208.232014,17,1587.61638
509.203612,93,1591.639943
611.374252,17,1592.877796
176.408165,39,1594.61122
219.209781,8,1595.257411
217.870259,9,1595.92766
357.24061,7,1596.837694
528.857791,84,1600.483407
229.0,1,1601.14726
219.882293,8,1601.90415
105.085224,92,1606.860845
302.161541,33,1608.703208
612.055618,17,1610.003316
549.278584,67,1613.346145
593.464998,35,1615.301681
590.668639,33,1617.08551
174.161838,42,1618.953025
608.669354,17,1620.185924
226.363157,3,1620.684516
631.573175,6,1621.536153
548.471033,65,1624.572549
370.830956,5,1625.418175
616.156112,15,1626.598025
514.58034,91,1630.735198
636.503728,3,1631.484713
219.852769,8,1632.11755
204.575612,20,1633.322888
447.978749,138,1639.053595
629.982761,4,1639.850741
627.351947,6,1640.734357
632.910055,6,1641.584374
229.0,1,1641.954369
349.888292,2,1642.624311
593.33843,32,1644.416949
332.884945,25,1645.902242
616.075836,14,1647.0499
619.652109,12,1648.131773
625.304392,10,1649.099813
656.052066,7,1649.982684
628.626906,4,1650.798473
202.867516,20,1651.83768
627.569649,7,1652.78267
638.561156,1,1653.39948
629.077365,9,1654.365912
613.84203,16,1655.557987
633.121822,5,1656.432438
635.503848,1,1657.165854
622.815704,9,1658.165551
637.120829,3,1658.98276
525.276714,86,1662.682068
631.336536,9,1663.598603
636.945464,2,1664.365169
517.644776,87,1668.114959
614.867068,37,1670.041032
628.977669,4,1670.830266
638.095454,3,1671.56448
661.484355,2,1672.314855
639.4278,2,1672.96462
616.567879,14,1674.148028
624.456069,8,1675.098047
627.664615,9,1676.080945
639.138359,2,1676.797439
633.316936,3,1677.547304
344.6796,1,1678.192014
609.019228,42,1680.330339
621.650936,14,1681.447417
229.0,1,1682.14669
610.901164,20,1683.513421
626.697705,10,1684.546656
608.674258,22,1685.963654
610.860126,20,1687.313985
620.34033,17,1688.562916
625.637457,8,1689.446393
586.806174,43,1691.596148
621.270492,11,1692.679222
634.485266,2,1693.379207
595.335013,31,1695.062306
628.672649,3,1695.841265
223.681252,5,1696.345628
603.62024,25,1697.87869
633.538666,2,1698.628765
587.500349,41,1700.711981
345.697545,12,1701.811323
609.798211,25,1703.311174
601.014029,31,1705.044773
219.767336,8,1705.678038
630.731745,4,1706.460504
589.529626,56,1709.044357
229.0,1,1709.4113
635.964528,5,1710.244263
632.846502,2,1711.011048
642.125896,18,1712.277673
570.821935,49,1714.610564
633.312099,4,1715.393776
630.228194,1,1716.110627
325.694459,20,1717.392239
631.730687,3,1718.13747
604.937338,26,1719.73577
621.64758,9,1720.810668
220.201477,8,1721.503847
572.689194,6,1722.411237
350.277258,15,1723.571496
638.614745,19,1724.950331
610.969583,21,1726.353979
636.757691,2,1727.074422
622.826359,9,1728.102153
580.43177,42,1730.234509
619.289024,11,1731.255516
614.353907,14,1732.46443
642.119345,1,1733.148229
618.4746,15,1734.447748
619.056102,15,1735.663674
209.152866,16,1736.639247
550.500395,65,1739.660558
211.013127,15,1740.489522
619.999056,14,1741.620684
640.749284,17,1742.948668
626.127068,7,1743.900048
627.120061,6,1745.167166
636.479494,2,1746.04142
633.315696,2,1747.014929
604.037095,25,1749.377162
599.312725,29,1751.52951
608.457773,20,1753.117454
626.634585,8,1754.524609
229.0,1,1755.176493
630.865593,4,1756.999933
641.014611,1,1757.814927
636.244123,3,1758.797577
638.727822,1,1759.577353
614.142701,18,1761.10907
537.127291,75,1764.596567
229.0,1,1765.035776
617.908823,18,1766.411886
194.459108,27,1767.861567
615.002398,16,1769.248987
229.0,1,1769.625878
637.089404,2,1770.310906
629.557349,5,1771.219976
630.146398,6,1772.098621
621.553945,11,1773.244688
208.459231,16,1774.159271
622.70828,13,1775.321142
342.682436,6,1776.19809
629.29079,7,1777.09853
579.103622,3,1777.900859
600.248089,30,1779.73114
637.405046,2,1780.434545
629.08406,9,1781.533126
628.680099,2,1782.253672
633.316761,2,1783.285024
212.838672,14,1784.435102
632.459645,3,1785.322118
615.867871,14,1786.461567
618.693763,18,1787.801716
625.664481,11,1789.05992
225.486621,4,1789.750731
632.504121,4,1790.624594
617.691625,14,1791.796212
631.543764,6,1792.64586
312.023447,9,1793.564195
627.32043,10,1794.682505
584.259818,43,1796.890303
335.985903,20,1798.326952
614.125487,15,1799.655424
616.599956,13,1800.861117
630.148387,4,1801.787513
208.266951,16,1802.73693
623.901133,7,1803.704403
617.251673,9,1804.814133
624.26343,9,1805.830508
191.774939,29,1807.392524
618.941424,7,1808.304828
361.341017,1,1808.946019
643.12623,17,1810.27848
626.556698,10,1811.332004
618.174003,13,1812.594212
623.668017,9,1813.56663
604.22873,24,1815.15415
347.987926,3,1815.883345
621.450093,10,1816.938993
623.405954,9,1817.960267
576.655686,49,1820.636604
607.065586,26,1822.290907
617.225524,14,1823.496081
572.031558,52,1826.173156
651.084417,10,1827.261285
229.0,1,1827.634152
622.460939,11,1828.765187
617.101253,16,1830.006247
604.038231,22,1831.437648
623.250335,9,1832.4901
598.740955,32,1834.436189
614.529884,16,1835.72131
625.075659,13,1836.830051
635.2059,3,1837.659241
607.364464,24,1839.202452
636.851174,1,1839.946508
621.117536,11,1841.117391
591.661335,34,1843.32392
212.38394,14,1844.411057
656.071507,7,1845.341584
629.395246,9,1846.357388
635.406894,4,1847.171985
618.463926,12,1848.276453
633.506142,1,1849.704895
145.279985,65,1852.48912
625.533378,12,1853.559744
