#{"t_start": 1754942248.3724322, "env_id": "None"}
r,l,t
627.254488,7,1401.481166
585.807778,40,1403.115318
634.365696,1,1403.882053
612.576651,18,1404.943905
630.04761,6,1405.736794
227.601555,2,1406.128117
623.31771,9,1406.983639
614.395659,20,1408.126845
603.640021,26,1409.385492
615.613344,15,1410.41263
661.391914,3,1411.108528
634.767191,3,1411.828215
217.49112,10,1412.43481
631.153698,7,1413.339293
610.844302,17,1414.365066
613.432091,19,1415.481106
630.451623,8,1416.446973
625.67708,12,1417.505636
346.047726,21,1418.800344
375.986265,1,1419.468596
207.626441,17,1420.239739
630.872233,4,1420.971699
638.543659,2,1421.654764
212.72826,13,1422.347053
625.537598,8,1423.149609
223.592615,5,1423.642839
662.067268,2,1424.292003
578.104179,2,1425.153851
617.17855,17,1426.224927
617.892704,15,1427.244425
610.169104,21,1428.33984
638.433111,1,1429.00361
591.230128,34,1430.535266
341.494668,1,1431.162016
629.6533,8,1431.993679
625.753943,9,1432.795954
590.618539,55,1434.797131
199.539362,24,1435.754709
629.186291,4,1436.639011
608.722318,22,1438.215479
218.422115,9,1438.863761
611.511508,18,1440.330609
620.721341,11,1441.337171
595.04002,36,1442.992866
570.959295,7,1443.792803
598.472748,22,1444.969892
654.05098,8,1445.824837
593.2315,32,1447.344502
180.230831,38,1448.699656
631.811045,6,1449.487032
610.027264,19,1450.71398
598.935655,34,1452.605656
619.391552,15,1453.760441
225.229902,4,1454.275928
615.857724,20,1455.493023
643.608669,15,1456.561521
626.610284,7,1457.392464
596.26479,35,1458.83352
610.356284,21,1459.977476
365.489513,10,1460.860997
652.342156,11,1461.718693
633.775936,23,1463.012363
203.301261,21,1463.971349
657.339211,5,1464.757956
205.860655,19,1465.608705
634.482401,2,1466.281678
607.053867,17,1467.32458
595.499743,35,1468.819353
613.537571,16,1469.848981
625.7454,12,1470.755438
574.950871,46,1472.534054
506.55277,99,1475.67425
655.57582,8,1476.466941
622.998071,10,1477.354803
623.547277,14,1478.324208
587.2076,40,1479.962312
633.97128,1,1480.608484
605.050509,25,1481.882353
203.714762,21,1482.79396
601.33344,27,1484.220583
588.255451,34,1485.926711
309.467433,19,1486.992625
614.069159,15,1488.026891
371.902807,1,1488.621578
632.067159,1,1489.265097
267.957565,59,1491.32635
660.112617,3,1492.019392
603.11363,28,1493.354581
594.533084,32,1494.761356
194.999686,28,1495.736855
617.166679,10,1496.608215
630.799413,4,1497.357372
625.574657,13,1498.312969
641.645721,1,1498.97814
575.090449,2,1499.755086
633.098724,5,1500.716885
624.636887,12,1501.695983
558.689497,53,1503.674255
639.996218,3,1504.365707
632.015801,3,1505.08192
625.487682,8,1505.90688
223.784543,5,1506.358008
626.355475,7,1507.213633
626.400499,11,1508.305845
227.528792,2,1508.702861
651.971384,12,1509.59059
218.122404,10,1510.173069
633.284084,5,1510.949614
637.850017,3,1511.635251
657.558282,5,1512.383391
629.495905,27,1513.627371
600.940975,27,1514.923671
632.41092,5,1515.655369
628.855986,8,1516.451972
221.347157,7,1516.960681
628.148858,6,1517.758526
654.087554,8,1518.536039
584.517884,42,1520.207619
229.0,1,1520.559623
229.0,1,1520.909348
221.595742,7,1521.419517
641.3152,16,1522.436662
629.192,9,1523.28501
608.967414,26,1524.535198
353.395513,11,1525.38073
625.023268,8,1526.228715
618.431699,12,1527.17216
324.675232,18,1528.210026
627.371925,9,1529.046439
633.520738,3,1529.716273
203.145909,21,1530.579446
610.008216,16,1531.571526
601.806274,26,1532.856858
620.124989,16,1533.890493
587.106777,38,1535.520659
603.433172,26,1536.782748
628.235196,5,1537.529845
597.555898,29,1538.88145
628.815428,5,1539.61379
614.078865,13,1540.617621
303.156173,18,1541.632875
630.764935,4,1542.363603
226.411611,3,1542.76163
577.54446,70,1545.126144
652.556941,8,1545.945735
606.44358,27,1547.20925
590.748577,33,1548.646987
216.535362,11,1549.25009
625.932461,6,1550.028708
614.160445,20,1551.142816
630.920965,3,1551.842249
313.910744,2,1552.462386
600.069634,22,1553.640201
210.468873,15,1554.369195
352.417456,15,1555.338957
229.0,1,1555.688421
658.641169,4,1556.406402
637.813331,2,1557.090436
617.773997,14,1558.043588
614.545168,11,1558.914304
633.064756,6,1559.697982
613.634558,16,1560.719305
584.995535,39,1562.27678
229.0,1,1562.634459
615.110713,12,1563.585365
613.378142,18,1564.672358
603.58496,25,1565.940361
335.191562,9,1566.739497
350.195856,7,1567.574702
630.438947,4,1568.289894
229.0,1,1568.639093
592.874259,38,1570.261421
625.433479,10,1571.100121
609.354503,19,1572.183148
638.363684,3,1572.892231
219.799352,8,1573.418146
632.301815,4,1574.123355
615.00159,16,1575.17103
315.72488,10,1576.007643
604.991963,27,1577.266403
605.958035,26,1578.512223
223.773175,5,1578.984442
607.024407,27,1580.277803
615.812907,18,1581.348705
633.837136,5,1582.128186
574.635815,7,1582.912784
220.314615,8,1583.43217
633.780863,2,1584.10078
623.294166,30,1585.469687
657.671572,8,1586.273819
348.536092,7,1587.018678
592.800638,38,1588.524208
631.620221,2,1589.171481
632.710595,3,1589.857054
229.0,1,1590.207377
219.755675,8,1590.732166
626.138683,7,1591.529116
657.900443,8,1592.348886
216.314354,11,1592.959837
607.340307,27,1594.236833
556.166989,62,1596.423119
610.868472,24,1597.678547
191.894725,29,1598.729337
626.296605,8,1599.564225
633.10813,4,1600.270978
623.630939,13,1601.217524
620.351795,7,1602.012355
627.590002,3,1602.692931
213.068127,13,1603.397479
623.612833,12,1604.301516
229.0,1,1604.65143
616.828338,16,1605.671847
205.241585,19,1606.451964
643.539292,16,1607.434707
619.253677,18,1608.518292
656.35855,6,1609.300282
227.83358,2,1609.694723
324.523652,2,1610.321234
633.159498,8,1611.153991
602.264656,48,1612.957607
639.671767,1,1613.602834
620.637963,9,1614.47727
616.968812,37,1615.97269
229.0,1,1616.32356
615.997523,15,1617.37271
218.56821,9,1617.932729
623.200716,7,1618.739404
634.300306,2,1619.430624
618.992169,16,1620.436037
353.580772,3,1621.106492
633.859178,5,1621.87058
611.422638,22,1623.011283
657.765126,5,1623.760364
627.668067,6,1624.538966
315.879338,19,1625.596961
633.744626,1,1626.267004
613.224131,12,1627.196719
602.182163,32,1628.617056
624.355669,11,1629.554647
630.294564,2,1630.266316
618.442616,13,1631.273507
217.237116,10,1631.868135
315.79736,18,1632.909529
638.465389,2,1633.604067
612.698249,17,1634.667823
216.194389,11,1635.254429
597.284355,34,1636.782638
622.138086,9,1637.635884
627.10601,28,1638.989027
